번호,시도,시군구,주소,주택유형,신청자수,x,y,img,geometry,deposit,m2,deposit_m2,distanceM_near_station,near_station,distance_comp,expected_time
102,서울특별시,서울 강동구,"서울 강동구 길동 350-3, 350-17, 350-18 더힐스빌 3층 304호",오피스텔(주거용),3776,37.5407044799123,127.143234847566,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002182015336.jpg,POINT (127.143234847566 37.5407044799123),26640.0,44.28,601.6260162601626,434.03213445198406,길동,10.820210081115079,35.70669326767976
101,서울특별시,서울 강북구,"서울 강북구 미아동 325-1, 325-52 경일리치빌3차 4층 401호",다세대주택,316,37.6197148882908,127.026521316006,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183547782.jpg,POINT (127.026521316006 37.6197148882908),19350.0,29.42,657.7158395649218,588.4641406721308,미아사거리 ,11.477580602654296,37.87601598875917
100,서울특별시,서울 강북구,서울 강북구 수유동 252-23 유화빌 A동 3층 302호,다세대주택,319,37.6459701290476,127.021313263692,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002182225362.jpg,POINT (127.021313263692 37.6459701290476),18810.0,42.29,444.78600141877513,852.7586568636551,수유(강북구청),14.14878544110128,46.690991955634225
99,서울특별시,서울 강서구,서울 강서구 방화동 134-10 션밸리 4층 402호,다세대주택,237,37.5776169373646,126.818677032503,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926171515439.png,POINT (126.818677032503 37.5776169373646),13500.0,35.77,377.4112384679899,601.9199032293384,방화,23.344085698184102,77.03548280400753
98,서울특별시,서울 강서구,"서울 강서구 방화동 323-3, 323-14 마곡그린필 6층 601호",다세대주택,203,37.5775200663355,126.815873818949,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165603036.png,POINT (126.815873818949 37.5775200663355),17190.0,29.74,578.0094149293881,321.59385746271386,방화,23.608037988280017,77.90652536132406
97,서울특별시,서울 강서구,서울 강서구 화곡동 1040 해비치빌 6층 601호,다세대주택,116,37.5427592152761,126.833035642205,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002173904447.jpg,POINT (126.833035642205 37.5427592152761),20160.0,26.23,768.5855890202058,729.5335495370407,우장산,21.102694738495266,69.63889263703437
96,서울특별시,서울 강서구,"서울 강서구 화곡동 161-36, 161-41 호성그린뷰 6층 601호",다세대주택,269,37.5350422558976,126.852967382426,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926171853534.png,POINT (126.852967382426 37.5350422558976),19350.0,56.04,345.2890792291221,715.828139946542,까치산,19.009679335065417,62.73194180571588
95,서울특별시,서울 강서구,서울 강서구 화곡동 24-148 동원에이스뷰 4층 401호,오피스텔(주거용),158,37.5454407255175,126.846900017801,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183835853.jpg,POINT (126.846900017801 37.5454407255175),23670.0,41.87,565.3212323859566,741.3450868941469,화곡,19.791059140156822,65.31049516251751
94,서울특별시,서울 강서구,서울 강서구 화곡동 351-36 더그레이스 4층 404호,다세대주택,200,37.5349528319623,126.843264928848,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002182409528.jpg,POINT (126.843264928848 37.5349528319623),18900.0,29.92,631.6844919786096,384.65864789758376,까치산,19.967651913085625,65.89325131318256
93,서울특별시,서울 강서구,서울 강서구 화곡동 408-56 동화팰리스 1층 203호,다세대주택,118,37.5369337784441,126.845115120578,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183848974.jpg,POINT (126.845115120578 37.5369337784441),18450.0,29.99,615.2050683561188,454.0644667349373,까치산,19.814756036339364,65.3886949199199
92,서울특별시,서울 강서구,"서울 강서구 화곡동 410-118, 410-119 동화빌 2층 304호",다세대주택,177,37.5373079407926,126.846546999228,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926172624354.png,POINT (126.846546999228 37.5373079407926),13590.0,25.54,532.1064996084573,477.65123609596617,까치산,19.67930588049915,64.94170940564719
91,서울특별시,서울 강서구,서울 강서구 화곡동 410-263 더존퍼스트 2층 202호,다세대주택,122,37.5382023026573,126.850361507953,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002174003362.jpg,POINT (126.850361507953 37.5382023026573),14760.0,28.98,509.3167701863354,699.1296506691558,까치산,19.31764790075754,63.74823807249987
90,서울특별시,서울 강서구,서울 강서구 화곡동 458-25 LK드림빌 B동 5층 502호,다세대주택,123,37.5352898403885,126.854779443906,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926170102302.png,POINT (126.854779443906 37.5352898403885),14670.0,28.18,520.5819730305182,895.1580067275412,까치산,18.834502380135078,62.153857854445754
89,서울특별시,서울 강서구,서울 강서구 화곡동 56-609 정은파크빌 103동 6층 601호,다세대주택,122,37.5397449820724,126.851494219969,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165643684.png,POINT (126.851494219969 37.5397449820724),17730.0,41.92,422.9484732824427,890.5133846013573,까치산,19.232589995586288,63.467546985434744
88,서울특별시,서울 강서구,서울 강서구 화곡동 59 청송평화하이맨션 5층 501호,다세대주택,231,37.5416239266041,126.847745150171,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183726279.jpg,POINT (126.847745150171 37.5416239266041),11520.0,39.99,288.0720180045011,696.0268334996432,화곡,19.635114070636455,64.7958764331003
87,서울특별시,서울 강서구,서울 강서구 화곡동 772-4 한가람빌라 3층 301호,다세대주택,142,37.545979738548,126.84980438444,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926173412201.png,POINT (126.84980438444 37.545979738548),14760.0,46.3,318.7904967602592,1018.2235979452594,화곡,19.51760152654215,64.40808503758909
86,서울특별시,서울 강서구,서울 강서구 화곡동 83-8 푸른풍경채 3층 303호,다세대주택,161,37.5473691783059,126.844385256653,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183458536.jpg,POINT (126.844385256653 37.5473691783059),22230.0,40.25,552.2981366459627,710.8210796996066,화곡,20.076521342898616,66.25252043156543
85,서울특별시,서울 강서구,서울 강서구 화곡동 840-3 보노하우스7차 4층 402호,다세대주택,237,37.5314779267854,126.858899026935,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002174100471.jpg,POINT (126.858899026935 37.5314779267854),20340.0,44.52,456.8733153638814,853.4788924246769,신정(은행정),18.37064423538002,60.62312597675406
84,서울특별시,서울 관악구,"서울 관악구 신림동 92-219, 92-220 삼성아트빌 3층 301호",다세대주택,600,37.4778096529789,126.937022514044,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926170136327.png,POINT (126.937022514044 37.4778096529789),25650.0,48.01,534.2636950635284,378.7178818881987,서원,10.750039860170899,35.475131538563964
83,서울특별시,서울 관악구,"서울 관악구 신림동 94-25, 94-224 리더스힐 2층 201호",다세대주택,263,37.4766649204811,126.938562823795,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002173731596.jpg,POINT (126.938562823795 37.4766649204811),19710.0,29.99,657.2190730243415,553.5412565568674,서원,10.632241003944367,35.08639531301641
82,서울특별시,서울 관악구,"서울 관악구 신림동 94-25, 94-224 리더스힐 4층 401호",다세대주택,248,37.4766649204811,126.938562823795,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002173811890.jpg,POINT (126.938562823795 37.4766649204811),20070.0,29.99,669.2230743581194,553.5412565568674,서원,10.632241003944367,35.08639531301641
81,서울특별시,서울 관악구,"서울 관악구 신림동 94-25, 94-224 리더스힐 4층 402호",다세대주택,245,37.4766649204811,126.938562823795,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002173841145.jpg,POINT (126.938562823795 37.4766649204811),20070.0,29.97,669.6696696696697,553.5412565568674,서원,10.632241003944367,35.08639531301641
80,서울특별시,서울 관악구,"서울 관악구 신림동 94-25, 94-224 리더스힐 6층 601호",다세대주택,263,37.4766649204811,126.938562823795,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002173826167.jpg,POINT (126.938562823795 37.4766649204811),20070.0,29.99,669.2230743581194,553.5412565568674,서원,10.632241003944367,35.08639531301641
79,서울특별시,서울 구로구,"서울 구로구 개봉동 322-4, 322-19 마이빌7 2층 203호",다세대주택,137,37.4919516024168,126.852468638636,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002174113547.jpg,POINT (126.852468638636 37.4919516024168),20610.0,44.31,465.13202437373053,711.4595310779256,개봉,18.8848596482714,62.320036839295625
78,서울특별시,서울 구로구,"서울 구로구 개봉동 322-4, 322-19 마이빌7 3층 303호",다세대주택,229,37.4919516024168,126.852468638636,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165947652.png,POINT (126.852468638636 37.4919516024168),17370.0,44.31,392.0108327691266,711.4595310779256,개봉,18.8848596482714,62.320036839295625
77,서울특별시,서울 구로구,"서울 구로구 개봉동 70-30, 70-31 라움 8층 801호",오피스텔(주거용),410,37.4980968979634,126.846445768147,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002175008507.jpg,POINT (126.846445768147 37.4980968979634),26730.0,56.45,473.5163861824623,328.7416589037673,오류동역,19.451454525455016,64.18979993400156
76,서울특별시,서울 구로구,"서울 구로구 구로동 109-1, 109-2 태형팰리스 102동 6층 603호",오피스텔(주거용),405,37.499681265311,126.8883871434,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183741484.jpg,POINT (126.8883871434 37.499681265311),24840.0,29.98,828.552368245497,742.4885681194559,구로역,15.254336413451805,50.33931016439095
75,서울특별시,서울 구로구,"서울 구로구 오류동 6-59, 6-60, 6-114 락스테이 6층 602호",오피스텔(주거용),206,37.4950165595706,126.839877827086,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002182028187.jpg,POINT (126.839877827086 37.4950165595706),17370.0,29.97,579.5795795795796,502.92411478385054,오류동역,20.121949338248786,66.402432816221
74,서울특별시,서울 금천구,서울 금천구 독산동 1006-114 독산해담은 5층 501호,다세대주택,645,37.4650095328421,126.893530789306,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926171006998.png,POINT (126.893530789306 37.4650095328421),13770.0,37.32,368.9710610932476,453.25584813534056,독산,15.282853926135429,50.43341795624691
73,서울특별시,서울 금천구,"서울 금천구 독산동 877-1, 960-3 골드마운틴 7층 704호",오피스텔(주거용),349,37.4790834742234,126.904475872421,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926172850183.png,POINT (126.904475872421 37.4790834742234),21690.0,37.22,582.7512090274047,731.7523458565167,구로디지털단지,13.892980659120779,45.84683617509857
72,서울특별시,서울 금천구,"서울 금천구 독산동 993-55, 993-56 리치힐 2층 203호",다세대주택,114,37.4727989734606,126.905309577754,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183754162.jpg,POINT (126.905309577754 37.4727989734606),20520.0,39.88,514.543630892678,1340.6583605056894,구로디지털단지,13.94652587374491,46.0235353833582
71,서울특별시,서울 금천구,서울 금천구 시흥동 823-37 자라하우스 4층 401호,다세대주택,133,37.4540927337961,126.908071537203,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926174118128.png,POINT (126.908071537203 37.4540927337961),19710.0,40.08,491.7664670658683,1364.2096007810428,금천구청역,14.246215669220339,47.01251170842712
70,서울특별시,서울 금천구,"서울 금천구 시흥동 828-4, 828-5, 828-8 2층 202호",다세대주택,101,37.4514410410088,126.908871209241,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002174016479.jpg,POINT (126.908871209241 37.4514410410088),17370.0,29.729,584.2779777321807,1495.0160934830628,금천구청역,14.270682876461521,47.093253492323015
69,서울특별시,서울 도봉구,서울 도봉구 도봉동 634-6 다이아포레 2층 202호,오피스텔(주거용),205,37.6721915911423,127.046848748564,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926173131652.jpg,POINT (127.046848748564 37.6721915911423),14490.0,38.99,371.6337522441652,327.76642418954,도봉역,16.646975684567046,54.935019759071245
68,서울특별시,서울 도봉구,서울 도봉구 도봉동 634-6 다이아포레 3층 302호,오피스텔(주거용),266,37.6721915911423,127.046848748564,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002182159220.jpg,POINT (127.046848748564 37.6721915911423),13590.0,38.99,348.5509104898692,327.76642418954,도봉역,16.646975684567046,54.935019759071245
67,서울특별시,서울 도봉구,서울 도봉구 쌍문동 31-46 쌍문동주택 3층 302호,다세대주택,136,37.6595050817978,127.038030187159,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926173745522.png,POINT (127.038030187159 37.6595050817978),15660.0,37.71,415.2744630071599,936.6385320793501,방학역,15.369863087591536,50.72054818905207
66,서울특별시,서울 동대문구,서울 동대문구 청량리동 206-7 홍릉한강뉴스타 102동 3층 303호,다세대주택,1374,37.5910772127591,127.045850936683,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183518762.jpg,POINT (127.045850936683 37.5910772127591),27900.0,41.96,664.9189704480458,1110.9607254396453,청량리역,8.539480959241361,28.18028716549649
65,서울특별시,서울 서대문구,서울 서대문구 북가좌동 3-101 로운힐 A동 4층 401호,다세대주택,428,37.5823895816467,126.916764525772,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926172919398.png,POINT (126.916764525772 37.5823895816467),10530.0,29.69,354.6648703267093,739.4662994991305,증산(명지대앞),14.576536116099831,48.10256918312944
64,서울특별시,서울 서대문구,"서울 서대문구 홍은동 10-236, 10-237, 10-270, 10-289 미소지움 101동 4층 403호",다세대주택,204,37.6029678145315,126.947947361954,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002182302863.jpg,POINT (126.947947361954 37.6029678145315),16200.0,29.91,541.6248746238716,1199.674196759883,녹번,13.438107352849013,44.34575426440174
63,서울특별시,서울 양천구,"서울 양천구 신월동 131-2, 131-3 그라비스 102동 2층 202호",오피스텔(주거용),178,37.5316190596553,126.831626577507,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926173044184.png,POINT (126.831626577507 37.5316190596553),16200.0,29.65,546.3743676222597,1328.603286330477,화곡,21.07634355342047,69.55193372628756
62,서울특별시,서울 양천구,서울 양천구 신월동 202-2 이스트힐 202동 3층 301호,다세대주택,249,37.5300798557498,126.829037890855,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183711412.jpg,POINT (126.829037890855 37.5300798557498),15930.0,52.29,304.6471600688468,1620.6784827092881,화곡,21.315232598783883,70.34026757598681
61,서울특별시,서울 양천구,"서울 양천구 신월동 242-4, 242-5, 242-6, 242-7 소노하우스 A동 4층 402호",다세대주택,198,37.5277397704326,126.836999081381,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926173505436.png,POINT (126.836999081381 37.5277397704326),20790.0,50.61,410.7883817427386,1043.1666490751054,까치산,20.498152171254304,67.6439021651392
60,서울특별시,서울 양천구,"서울 양천구 신월동 86-4, 86-5 SK이팰리스 3층 303호",연립주택,154,37.5369656100015,126.833865243224,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165911897.png,POINT (126.833865243224 37.5369656100015),16200.0,28.12,576.1024182076814,813.9443872550478,화곡,20.927016973143058,69.05915601137208
59,서울특별시,서울 양천구,"서울 양천구 신정동 923-20, 923-21, 923-22 동광팰리스 4층 403호",다세대주택,534,37.5254167987673,126.854368245737,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165829344.png,POINT (126.854368245737 37.5254167987673),15840.0,25.96,610.1694915254237,97.007285861854,신정(은행정),18.746411835371518,61.863159056726005
58,서울특별시,서울 은평구,"서울 은평구 불광동 197, 197-2 수성렉스빌 B동 2층 203호",다세대주택,256,37.6220073830173,126.93024428957,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183656385.jpg,POINT (126.93024428957 37.6220073830173),14940.0,29.88,500.0,447.3313403545791,독바위,16.037713677742037,52.924455136548715
57,서울특별시,서울 은평구,서울 은평구 신사동 270-36 파크원 A동 3층 304호,다세대주택,232,37.6008750220084,126.906610579667,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165726439.png,POINT (126.906610579667 37.6008750220084),16110.0,28.59,563.4837355718782,813.8350872209276,응암,16.44439231007717,54.26649462325466
56,서울특별시,서울 은평구,"서울 은평구 응암동 366-6, 366-7, 366-9 동인에버빌 8층 801호",오피스텔(주거용),197,37.591057987314,126.918508762673,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165623285.png,POINT (126.918508762673 37.591057987314),14130.0,17.28,817.7083333333333,522.4925953075686,새절(신사),14.906468258243082,49.19134525220217
55,서울특별시,서울 은평구,"서울 은평구 응암동 99-60, 99-52 솔빛엘르빌 3층 302호",다세대주택,457,37.5994755405433,126.924957659241,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002182039842.jpg,POINT (126.924957659241 37.5994755405433),18090.0,44.72,404.5169946332737,605.6766547101922,역촌,14.896358284615557,49.15798233923134
54,서울특별시,서울 중랑구,"서울 중랑구 상봉동 116-17, 116-18, 116-39 로젠하임 3층 305호",오피스텔(주거용),1112,37.5960799617292,127.083131258595,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926173347688.jpg,POINT (127.083131258595 37.5960799617292),12240.0,16.58,738.2388419782872,298.2319306124231,상봉,9.96803257929444,32.894507511671655
53,인천광역시,인천 계양구,"인천 계양구 동양동 597-3, 597-4 아인스빌2차 3층 301호",다세대주택,39,37.5634798311089,126.756540763739,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002182211876.jpg,POINT (126.756540763739 37.5634798311089),6840.0,33.61,203.51085986313598,1419.820342208275,귤현,29.005227243042064,95.7172499020388
